CUI_ID,DrugBankID,DrugName
C0772394,DB00001,lepirudin
C0919146,DB00001,lepirudin
C0995188,DB00002,cetuximab
C1135662,DB00003,dornase alfa
C0717670,DB00004,denileukin diftitox
C0717758,DB00005,etanercept
C0168273,DB00006,bivalirudin
C1314413,DB00006,bivalirudin
C0085272,DB00007,leuprolide
C0391001,DB00008,peginterferon alfa-2a
C0032143,DB00009,alteplase
C0142046,DB00010,sermorelin
C1333674,DB00010,sermorelin
C0699817,DB00011,interferon alfa-n1
C0937950,DB00012,darbepoetin alfa
C0042071,DB00013,urokinase
C1335224,DB00013,urokinase
C1522670,DB00013,urokinase
C0120107,DB00014,goserelin
C0256103,DB00015,reteplase
C0014822,DB00016,erythropoietin
C0202001,DB00016,erythropoietin
C0357126,DB00016,erythropoietin
C0376541,DB00016,erythropoietin
C1366564,DB00016,erythropoietin
C1755594,DB00016,erythropoietin
C2976467,DB00016,erythropoietin
C0073994,DB00017,salmon calcitonin
C1610033,DB00018,interferon alfa-n3
C1621234,DB00018,interferon alfa-n3
C1136535,DB00019,pegfilgrastim
C0216231,DB00020,sargramostim
C1332791,DB00020,sargramostim
C0036534,DB00021,secretin
C0523887,DB00021,secretin
C1419875,DB00021,secretin
C2752584,DB00021,secretin
C0796545,DB00022,peginterferon alfa-2b
C0017963,DB00024,thyrotropin alfa
C2587204,DB00024,thyrotropin alfa
C2732002,DB00025,"antihemophilic factor, human recombinant"
C0245109,DB00026,anakinra
C0018160,DB00027,gramicidin d
C0358321,DB00028,immune globulin human
C0078956,DB00029,anistreplase
C0795635,DB00030,insulin human
C0872913,DB00031,tenecteplase
C0025326,DB00032,menotropins
C0021741,DB00033,interferon gamma-1b
C0021734,DB00034,"interferon alfa-2a, recombinant"
C0011701,DB00035,desmopressin
C0534191,DB00036,coagulation factor viia recombinant human
C0795575,DB00036,coagulation factor viia recombinant human
C0537670,DB00038,oprelvekin
C1334100,DB00038,oprelvekin
C0677829,DB00039,palifermin
C0876232,DB00040,glucagon recombinant
C0218986,DB00041,aldesleukin
C0006051,DB00042,botulinum toxin type b
C2719430,DB00042,botulinum toxin type b
C0966225,DB00043,omalizumab
C1271607,DB00044,lutropin alfa
C0134235,DB00045,lyme disease vaccine (recombinant ospa)
C0293359,DB00046,insulin lispro
C0907402,DB00047,insulin glargine
C0009053,DB00048,collagenase clostridium histolyticum
C0937932,DB00049,rasburicase
C1314420,DB00049,rasburicase
C0209366,DB00050,cetrorelix
C1122087,DB00051,adalimumab
C0037663,DB00052,somatotropin
C0169964,DB00052,somatotropin
C1333673,DB00052,somatotropin
C3714500,DB00052,somatotropin
C0291140,DB00053,imiglucerase
C0288672,DB00054,abciximab
C1170000,DB00055,drotrecogin alfa
C1533699,DB00056,gemtuzumab ozogamicin
C0209389,DB00057,indium in-111 satumomab pendetide
C0002191,DB00058,alpha-1-proteinase inhibitor
C0795657,DB00058,alpha-1-proteinase inhibitor
C0071568,DB00059,pegaspargase
C0254119,DB00060,interferon beta-1a
C0982234,DB00060,interferon beta-1a
C0164674,DB00061,pegademase bovine
C0304925,DB00062,human serum albumin
C3537198,DB00062,human serum albumin
C0253563,DB00063,eptifibatide
C0666743,DB00065,infliximab
C0733758,DB00066,follitropin
C0042413,DB00067,vasopressin
C0201849,DB00067,vasopressin
C1098706,DB00067,vasopressin
C1705480,DB00067,vasopressin
C0244713,DB00068,interferon beta-1b
C0164613,DB00069,interferon alfacon-1
C0020197,DB00070,hyaluronidase
C1615665,DB00070,hyaluronidase
C0770206,DB00071,insulin pork
C0728747,DB00072,trastuzumab
C0393022,DB00073,rituximab
C0676831,DB00074,basiliximab
C0919144,DB00074,basiliximab
C0085379,DB00075,muromonab
C0919131,DB00076,digoxin immune fab (ovine)
C4083129,DB00076,digoxin immune fab (ovine)
